BGC	Genus	Name	Compound_count	MW	TPSA	LOGP	HACC	HDON	Type	Activities	Structure	Antibacterial	Antifungal	Siderophore	Orf_length
BGC0001469	Brevibacillus	marthiapeptide A	1	665.137121852	138.33	4.7013	11	3	NRP	Antibacterial	[H][C@@]12CSC(=N1)C1=CSC(=N1)C1=CSC(=N1)C1=CSC(=N1)[C@@H](C)NC(=O)[C@@]([H])(NC(=O)[C@@H](CC1=CC=CC=C1)NC2=O)[C@@H](C)CC	1	1	0	0	12
BGC0001548	Streptomyces	citrulassin A	1	1564.89369086	661.35	-6.7635	21	22	RiPP	NA	C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1)CC(C)C)CC(C)C)CC(C)C)C(=O)N[C@@H](CCCNC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)O)CC(=O)N	1	0	0	0	4
BGC0000353	Streptomyces	tacrolimus	1	803.481976648	178.36	4.639	12	3	NRP	NA	[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC	1	0	0	0	3
BGC0000141	Streptomyces	rubradirin	1	998.270539872	349.02	3.34162	22	6	Polyketide	NA	CC1/C=C(/C(=O)C2=C3C(=CC(=C2O)C)C(=O)C4=C(C3=O)OC(CN4)(C(=O)C(C1OC(=O)C5=C(C(=CC(=N5)C(=O)NC6=C(OC7=C(C6=O)C=CC(=C7)OC)O)OC8CC(C(C(O8)C)OC)(C)[N+](=O)[O-])O)O)C)\C	1	0	0	0	58
BGC0000869	Nostoc	heterocyst glycolipids	1	-1	NA	NA	NA	NA	Other	NA	NA	0	0	0	0	7
BGC0000920	Bacillus	polyhydroxyalkanoates	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	2
BGC0001872	Xenorhabdus	fabclavine-polyamine	1	597.628462148	150.33	7.948	6	6	Polyketide	Antibacterial	NCCC(O)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(C)N	0	1	0	0	10
BGC0000754	Avibacterium	capsular polysaccharide	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	6
BGC0000446	Klebsiella	tilivalline	5	333.147726848	68.36	3.6449	3	3	NRP	Cytotoxic	C1C[C@H]2[C@@H](NC3=C(C=CC=C3O)C(=O)N2C1)C4=CNC5=CC=CC=C54	0	0	0	0	19
BGC0001144	Trichophyton	neosartoricin B	1	442.464000003	155.52	2.7171	8	6	Polyketide	NA	C/C(C)=C\CC1=C2C=C(O)C=C(O)C2=C(O)C3=C1C[C@](CC(/C=C(C)\O)=O)(O)[C@H](O)C3=O	2	0	0	0	5
BGC0000895	Lactobacillus	citrulline	1	175.095691276	118.44	-1.1532	3	4	Other	NA	C(C[C@@H](C(=O)O)N)CNC(=O)N	1	0	0	0	11
BGC0001110	uncultured	psymberin	2	609.314911324	184.24	1.85022	11	6	NRP	Cytotoxic	CC1=C(C=C(C2=C1C[C@@H](OC2=O)[C@H](C)[C@H](C[C@@H]3C([C@@H](C[C@H](O3)[C@@H](NC(=O)[C@H](C(CC(=C)C)OC)O)OC)O)(C)C)O)O)O	3	0	0	0	19
BGC0000223	uncultured	rabelomycin	5	338.079038168	111.9	1.7531	6	3	Polyketide	Antibacterial	C[C@@]1(O)CC(=O)C2=C3C(=O)C4=C(C(O)=CC=C4)C(=O)C3=C(O)C=C2C1	3	1	0	0	65
BGC0001742	Candidatus	piericidin A1	1	415.272258664	71.81	5.45742	5	2	Polyketide	NA	OC1=C(C)C(C/C=C(C)/C/C=C/C(C)=C/[C@@H](C)[C@H](/C(C)=C/C)O)=NC(OC)=C1OC	0	0	0	0	12
BGC0000419	Amycolatopsis	ristomycin A	1	2066.6615888	816.22	-6.50138	46	29	NRP	Antibacterial	CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O	1	1	0	0	39
BGC0000362	Mycobacterium	glycopeptidolipid	1	1602.98614528	446.8	5.6551	25	12	NRP	NA	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H]([C@@H](C)OC2[C@@H]([C@@H]([C@@H]([C@@H](O2)C)O)O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O[C@H]4[C@@H]([C@H]([C@H]5[C@H](O4)CO[C@](O5)(C)C(=O)O)OC)O)O)C(=O)N[C@H](C)C(=O)N[C@@H](C)COC6[C@@H]([C@@H]([C@H]([C@@H](O6)C)OC)OC)O)O.O	1	0	0	0	39
BGC0000290	Streptomyces	A-47934	1	1311.13765547	450.59	5.1142	20	15	NRP	NA	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	1	0	0	0	34
BGC0000761	Methylobacillus	exopolysaccharide	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	24
BGC0001934	Streptomyces	armeniaspirols	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	29
BGC0000497	Streptococcus	BHT-Aα	2	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	8
BGC0001873	Xenorhabdus	pyrrolizixenamide A	1	236.15247788	49.41	1.5714	3	1	NRP	NA	O=C1C=C(NC(=O)CCCCC)N2CCCC12	0	0	0	0	2
BGC0000795	Aneurinibacillus	S-layer glycan	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	1	0	0	0	24
BGC0001592	Streptomyces	ferroverdin	1	883.10765518	236.37	6.0624	15	0	Other	NA	C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)[O-])N=O.C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)[O-])N=O.C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)[O-])N=O.[Na+].[Fe+2]	1	0	0	0	17
BGC0001508	Penicillium	andrastin A	1	486.261753556	106.97	4.4962	7	1	Polyketide	NA	[H][C@]12CC[C@@]3(C)[C@@]([H])(C=C(C)[C@@]4(C)C(=O)C(C)=C(O)[C@@]34C(=O)OC)[C@@]1(CC[C@H](OC(C)=O)C2(C)C)C=O	2	0	0	0	10
BGC0001705	Nostoc	nodularin	1	824.44324012	284.94	0.9729	9	8	NRP	NA	C/C=C\1/C(=O)N[C@H]([C@H](C(=O)N[C@@H](C(=O)N[C@@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O	0	0	0	0	9
BGC0001460	Amycolatopsis	decaplanin	1	1559.52708079	589.41	-1.6954	29	21	NRP	Antibacterial	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC=C(O4)C=C1)OC1CC(C(C(O1)C)O)(C)N)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)O)O)O	1	1	0	0	36
BGC0001767	Salinispora	salinichelins	1	-1	NA	NA	NA	NA	NRP	NA	NA	1	0	0	0	13
BGC0000939	Grimontia	aerobactin	1	564.227887212	271.41	-1.4629	10	8	Other	NA	CC(=O)N(CCCC[C@@H](C(=O)O)NC(=O)CC(CC(=O)N[C@@H](CCCCN(C(=O)C)O)C(=O)O)(C(=O)O)O)O	0	0	0	0	9
BGC0000396	Nostoc	nodularin	1	824.44324012	282.44	1.18257	9	9	NRP	NA	CO[C@@H](CC1=CC=CC=C1)[C@@H](C)\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)[C@@H](NC(=O)\C(=C\C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O	0	0	0	0	4
BGC0000278	Streptomyces	urdamycin	1	890.339471396	257.43	2.1775	18	7	Polyketide	NA	C[C@H]1[C@H](CC[C@@H](O1)O[C@]23C(=O)C[C@](C[C@]2(C(=CC4=C3C(=O)C5=C(C4=O)C(=C(C=C5)[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7CC[C@@H]([C@@H](O7)C)O[C@H]8C[C@H]([C@@H]([C@H](O8)C)O)O)O)SC)O)(C)O)O	1	0	0	0	5
BGC0000881	Streptomyces	toyocamycin	1	291.096753896	150.44	-1.50332	9	4	Other	NA	C1=C(C2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=CN=C2N)C#N	1	0	0	0	10
BGC0000236	Streptomyces	kinamycin	1	496.11179484	187.64	-0.71302	11	2	Polyketide	NA	CC(=O)O[C@@H]1[C@H](C2=C([C@H]([C@@]1(C)OC(=O)C)OC(=O)C)C(=C3C2=C(C4=CC=CC(=O)C4=C3O)[O-])[N+]#N)O	1	0	0	0	35
BGC0001802	Streptomyces	thioholgamide A	2	1305.48918734	327.03	0.138	17	13	RiPP	NA	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O	1	0	0	0	11
BGC0000193	Streptomyces	aclacinomycin	1	811.341519996	217.05	3.1577	16	4	Polyketide	NA	CC[C@]1(C[C@@H](C2=C([C@H]1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O	1	0	0	0	13
BGC0001623	Streptomyces	ishigamide	1	-1	NA	NA	NA	NA	NRP	NA	NA	1	0	0	0	18
BGC0000441	Actinoplanes	teicoplanin	1	1197.21981296	407.22	4.9848	18	15	NRP	NA	C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)NC(C9=CC(=CC(=C9C2=C(C=CC(=C2)[C@H](C(=O)N8)NC5=O)O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl	1	0	0	0	49
BGC0000418	Amycolatopsis	ristocetin	1	2066.6615888	816.22	-6.50138	46	29	NRP	NA	CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O	1	0	0	0	39
BGC0001947	Acinetobacter	K53 capsular polysaccharide	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	19
BGC0001630	uncultured	kasumigamide	1	786.37007518	292.08	0.10717	9	12	NRP	NA	NC(=N)NCCC[C@@H](NC(=O)C[C@H](O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N[C@H]([C@H](O)C1=CC=CC=C1)C(O)=O	3	0	0	0	11
BGC0000973	Streptomyces	collismycin A	1	275.072847656	63.58	2.8545	6	1	NRP	Neuroprotectant	COC1=C(/C(=C\N=O)/NC(=C1)C2=CC=CC=N2)SC	1	0	0	0	27
BGC0000915	Streptomyces	mitomycin	1	334.127719676	146.89	-1.6512	8	3	Other	Cytotoxic	CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N	1	0	0	0	55
BGC0001535	Streptomyces	branched-chain fatty acids	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	3
BGC0001387	Streptomyces	nucleocidin	1	364.060131356	188.7	-2.455	11	4	Other	NA	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@](F)(COS(N)(=O)=O)[C@@H](O)[C@H]1O	1	0	0	0	23
BGC0001395	Actinoplanes	teichomycin	1	1877.55658192	662.41	1.1636	33	24	Other	NA	CCCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@H](C7=CC(=CC(=C7C8=C(C=CC(=C8)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]9C1=CC(=CC(=C1)O)OC1=C(C=CC(=C1)[C@H](C(=O)N[C@H](CC1=CC(=C(O3)C=C1)Cl)C(=O)N9)N)O)O)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C(=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)Cl)CO)O)O	1	0	0	0	18
BGC0001318	Manihot	linamarin	2	247.105587264	123.17	-1.89492	7	4	Other	NA	CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	3	0	0	0	16
BGC0000356	Aspergillus	verruculogen	7	511.231850396	113.7	2.8551	8	2	NRP	Inhibitor	C/C(C)=C/[C@@H]1N2C3=C(C4=C2[C@@H](N5C([C@]6([H])CCCN6C([C@]5(O)[C@H]4O)=O)=O)CC(C)(C)OO1)C=CC(OC)=C3	2	0	0	0	9
BGC0001267	Claviceps	lysergic acid	2	268.121177752	56.33	2.1222	2	2	Terpene	NA	CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)O	2	0	0	0	13
BGC0000184	Sorangium	sorangicin A	1	806.460512932	161.21	6.7977	10	4	Polyketide	Antibacterial	CC(CCCCC(O)=O)\C=C(/C)C1OC2C\C=C\CC\C=C\C(O)C(O)[C@H]3C[C@H](O)C(C)C(C\C=C\[C@@H]4O[C@@H]5C[C@@H](O[C@@H]5\C=C\C=C/C=C\C(=O)OC1C=C2)[C@H]4C)O3	0	1	0	0	23
BGC0000842	Streptomyces	carbapenem MM4550	1	407.0226	199.26	-2.4686	9	2	Other	Antibacterial	C[C@H](OS(=O)([O-])=O)[C@]([C@]1([H])N2C(C(O)=O)=C([S+]([O-])/C=C/NC([O-])=O)C1)([H])C2=O	1	1	0	0	29
BGC0000382	Streptomyces	lipstatin	1	491.361073668	81.7	6.4339	5	1	NRP	NA	CCCCCC[C@H]1[C@H](C[C@H](C\C=C/C\C=C/CCCCC)OC(=O)[C@H](CC(C)C)NC=O)OC1=O	1	0	0	0	14
BGC0001511	Actinosynnema	ansamitocin P-3	1	634.265708636	136.16	4.3236	9	2	Polyketide	NA	C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O	1	0	0	0	42
BGC0000511	Bacillus	ericin S	1	3341.54287773	1219.71	-9.0764	45	40	RiPP	Antibacterial,Signalling	NC(CC1=CNC2=C1C=CC=C2)C(NC(CCCCN)C(NC(CSCC(C(NC(C5C)C(N4C(C(NC([H])C(NC(CS5)C(NC(C(C)C)C(NC(C6C)C(NC([H])C(NC(C(C)C)C(NC(CC(C)C)C(NC(CCC(N)=O)C(NC(C(NC(CS6)C(NC(CC7=CC=CC=C7)C(NC(CC(C)C)C(NC(CCC(N)=O)C(NC(C8C)C(NC(C(CC)C)C(NC(C9C)C(NC(CS8)C(NC(CC(N)=O)C(NC(CS9)C(NC(CC%10=CNC=N%10)C(NC(C(CC)C)C(NC(C(NC(CCCCN)C(O)=O)=O)=C)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=CC)=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC4)=O)=O)NC3=O)C(NC(CCC(O)=O)C(NC(C(NC3C(C)C)=O)=C)=O)=O)=O)=O	1	1	0	0	17
BGC0000440	Actinoplanes	teicoplanin	1	1197.21981296	407.22	4.9848	18	15	NRP	Antibacterial	C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)NC(C9=CC(=CC(=C9C2=C(C=CC(=C2)[C@H](C(=O)N8)NC5=O)O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl	1	1	0	0	53
BGC0000815	Epichloe	loline	1	154.110613	24.5	-0.5703	3	1	Alkaloid	NA	CN[C@H]1[C@H]2CN3[C@@H]1[C@@H](O2)CC3	2	0	0	0	9
BGC0001041	Salinispora	salinosporamide A	1	313.1080858	75.63	1.1328	4	2	NRP	Cytotoxic	[H][C@](O)([C@@]1([H])CCCC=C1)[C@@]12NC(=O)[C@H](CCCl)[C@]1(C)OC2=O	1	0	0	0	31
BGC0001475	Aspergillus	aspterric acid	1	266.151809184	66.76	2.1176	3	2	Polyketide	NA	CC(=C1CCC23C1CCC(C(C2)OC3)(C(=O)O)O)C	2	0	0	0	4
BGC0000812	Shiraia	huperzine A	1	242.141913196	59.14	2.4098	3	2	Alkaloid	NA	CC=C1C2CC3=C(C=CC(O)=N3)C1(N)CC(C)=C2	2	0	0	0	13
BGC0000227	Streptomyces	granaticin	1	444.10564684	159.82	0.2882	10	4	Polyketide	Antibacterial	C[C@@H]1[C@]2(c3c(c(c4c(c3O)C(=O)C5=C(C4=O)[C@H]6[C@H](CC(=O)O6)OC5C)O)[C@@H](O1)C[C@H]2O)O	1	1	0	0	37
BGC0000345	Streptomyces	eponemycin	1	398.241686808	128.26	0.4613	6	4	NRP	Cytotoxic,Inhibitor	CC(C)CCCCC(=O)NC(CO)C(=O)N[C@@H](CC(=C)C)C(=O)[C@]1(CO1)CO	1	0	0	0	14
BGC0001735	Streptomyces	pentostatine	2	268.117154992	112.13	-0.989	8	4	Other	NA	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O	1	0	0	0	32
BGC0001758	Paraburkholderia	rhizomide A	3	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	1
BGC0001614	Planktothrix	hassallidin E	1	1409.71774318	566.12	-5.3275	24	19	NRP	NA	C/C=C1NC(C(NC(C(NC(C(C(OC(C(NC(C(N(C(CNC(C(NC\1=O)CCC(N)=O)=O)=O)C)C(OC2OC(C(C(C2O)O)O)CO)C)=O)CCC(N)=O)=O)C)NC(C(C(O)C)NC(C(C(CCCCCCCCCCCCC)O)O)=O)=O)=O)C(O)C)=O)Cc3ccc(O)cc3)=O	0	0	0	0	16
BGC0001663	Nostoc	merocyclophane C	2	568.412774892	101.15	9.8508	5	5	Polyketide	NA	CCCC[C@@H]1CCCCC[C@H](C2=CC(=C([C@H](CCCCC[C@H](C3=CC(=C1C(=C3)O)O)C)CCCCO)C(=C2)O)O)C	0	0	0	0	9
BGC0001646	Burkholderia	lagriamide	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	0	0	0	0	22
BGC0001484	Actinomadura	2'-chloropentostatin	2	566.175270884	246.46	-2.3852	17	7	Other	NA	C1[C@H](C2=C(NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)Cl)O/C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)N	1	0	0	0	31
BGC0000626	Bacillus	thuricin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	6
BGC0000260	Hahella	prodigiosin	1	323.19976242	53.17	2.97012	2	2	Polyketide	NA	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	0	0	0	0	26
BGC0001336	uncultured	erdasporine A	3	369.11134134	86.98	3.9131	3	3	Alkaloid	Cytotoxic	O=C1C2=C(C(C(OC)=O)N1)C3=C(C4=C2C5=CC=CC=C5N4)NC6=CC=CC=C63	3	0	0	0	7
BGC0000434	Streptomyces	SW-163C	5	1112.3731886	316.48	0.7236	18	6	NRP	NA	CC1CC11N(C)C(=O)C2CSSCC(N(C)C(=O)C(C)NC(=O)C(COC1=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)N(C)C1(CC1C)C(=O)OCC(NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)NC(C)C(=O)N2C	1	0	0	0	28
BGC0001748	Nostoc	pseudospumigin A	6	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	3
BGC0001938	Candidatus	entotheonella	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	0	0	0	0	2
BGC0000894	Monascus	citrinin	1	250.084123548	83.83	1.721	4	2	Other	NA	C[C@@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@H]1C	2	0	0	0	7
BGC0001775	Cordana	sespendole	1	519.33485892	85.85	6.2377	4	3	Terpene	NA	[H][C@]12CC3=C(NC4=CC=C([C@H](O)C5OC5(C)C)C(CC=C(C)C)=C34)[C@]1(C)[C@@]1(C)CCC(=O)C(C)(C)[C@]1(O)CC2	2	0	0	0	6
BGC0001573	Claviceps	dihydrolysergic acid	1	270.136827816	56.33	2.2125	2	2	Alkaloid	NA	CN1CC(CC2C1CC3=CNC4=CC=CC2=C34)C(=O)O	2	0	0	0	6
BGC0002032	Streptomyces	pentamycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	15
BGC0001384	Streptomyces	saprolmycin E	1	820.294235456	230.88	2.4844	16	4	Polyketide	NA	C[C@@H]1OC(CC[C@@H]1O[C@@H]1O[C@@H](C)C(=O)C=C1)O[C@@H]1[C@@H](C)O[C@H](C[C@H]1O)C1=C(O)C2=C(C=C1)C(=O)C1=C(C=C[C@]3(O)C[C@@](C)(CC(=O)[C@]13O)O[C@@H]1O[C@@H](C)C(=O)C=C1)C2=O	1	0	0	0	36
BGC0000616	Bacillus	amylocyclicin	1	6381	NA	NA	NA	NA	RiPP	Antibacterial	NA	1	1	0	0	6
BGC0000068	Streptomyces	geldanamycin	1	560.27338086	163.48	2.4084	9	3	Polyketide	NA	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	1	0	0	0	13
BGC0000951	Streptomyces	pacidamycin 1	8	874.36096704	332.4	-1.2491	13	11	NRP	NA	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC5=CC=CC(O)=C5)NC([C@@H](N)C)=O)=O)C)=O	1	0	0	0	22
BGC0000925	Pseudomonas	quinolobactin	1	219.053157768	79.65	1.6472	4	2	Other	NA	COC1=CC(=NC2=C(O)C=CC=C12)C(O)=O	0	0	0	0	15
BGC0000996	Streptomyces	frontalamide B	1	508.257336872	132.8	2.165	6	4	NRP	Antifungal	O=C(NCCC(O)C1C(O)=C(C(/C=C/2)=O)C(N1)=O)/C=C\C[C@H]([C@]3([H])[C@]4([H])[C@@]5([H])[C@@](C[C@H](C=C)[C@@H]5C)([H])C3)[C@H]2CC4=O	1	0	1	0	7
BGC0000558	Bacillus	sublancin 168	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	3
BGC0001994	Streptomyces	β-ethynylserine	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	6
BGC0001037	Aspergillus	pseurotin	2	431.15801676	142.39	0.0028	8	4	NRP	Inhibitor	CC\C=C/[C@H](O)[C@H](O)C1=C(C)C(=O)[C@@]2(O1)C(O)[C@](NC2=O)(OC)C(=O)C1=CC=CC=C1	2	0	0	0	5
BGC0000486	Butyrivibrio	butyrivibriocin AR10	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	8
BGC0001221	Streptomyces	marinophenazine A	2	364.178692628	69.29	4.7985	4	1	Other	Cytotoxic	C/C(=C\COc1cccc2c1nc1cccc(c1[n+]2[O-])O)/CCC=C(C)C	1	0	0	0	26
BGC0000806	Glycomyces	phosphonoglycans	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	1	0	0	0	55
BGC0001553	Streptomyces	clifednamide A	1	492.262422252	112.57	3.1942	5	3	NRP	NA	C[C@@H]1C[C@@H]2[C@H]3C[C@H]4/C=C/C(=C5C(=O)[C@H](CCCNC(=O)/C=C/C[C@@H]4[C@H]3C=C[C@H]2[C@@H]1C(=O)C)NC5=O)O	1	0	0	0	10
BGC0001895	Streptomyces	huanglongmycin A	3	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	20
BGC0001021	Mycobacterium	mycobactin	1	591.254042384	203.91	-0.4059	11	5	NRP	NA	C1CCN(C(=O)C(C1)NC(=O)CCOC(=O)C(CCCCCN(C=O)O)NC(=O)C2CO/C(=C\3/C=CC=CC3=O)/N2)O	1	0	0	0	10
BGC0000465	Xenorhabdus	xenortide A	4	409.27292736	61.44	3.0491	3	2	NRP	Cytotoxic	CN[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC1=CC=CC=C1	0	0	0	0	2
BGC0000586	Klebsiella	microcin E492	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	16
BGC0000580	Xanthomonas	xanthomonin I	2	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	4
